# built_at: 2026-09-21T14:52:58+0200
# source_path: /Users/nagi/dev/03-mnbrain/mnbrain_db/mnbrain_dup_one_empt.db
# source_sha256: dd651aa53e26e364a39ee1ccf5a171dadf40ebe9be1bca1157440eb1f6b18c04
# tool: build_translit_db.py
# tool_version: 1.1.0
# config: {"dedupe": true, "dry_run": false, "export_tsv": null, "export_tsv_xz": "builds_tsv/01_kv.tsv.xz", "index_mn": true, "lowercase_mn": false, "nfc": false, "output": "mn2mb.db", "overwrite": true, "page_size": 4096, "schema": "kv", "source": "../../mnbrain_db/mnbrain_dup_one_empt.db", "strip_variation_selectors": false, "tsv_header": true, "tsv_multi_sep": "|", "tsv_only": true, "tsv_sort": "mn", "tsv_xz_preset": "9e", "vacuum": true, "without_rowid": false}
# counts: {"elapsed_seconds": 0.02, "normalized": 21326, "raw": 21326, "written": 21133}
# columns: mn	mb
авлига	ᠠᠪᠯᠢᠭ᠎ᠠ
авлигалах	ᠠᠪᠯᠢᠭᠠᠯᠠᠬᠤ
авлигач	ᠠᠪᠯᠢᠭᠠᠴᠢ
аврагдах	ᠠᠪᠤᠷᠠᠭᠳᠠᠬᠤ
аврагч	ᠠᠪᠤᠷᠠᠭᠴᠢ
аврал	ᠠᠪᠤᠷᠠᠯ
авралт	ᠠᠪᠤᠷᠠᠯᠲᠤ
авралтай	ᠠᠪᠤᠷᠠᠯᠲᠠᠢ
аврах	ᠠᠪᠤᠷᠠᠬᠤ
авс	ᠠᠪᠰᠠ
авсаар	ᠠᠪᠰᠠᠷ
авсаархан	ᠠᠪᠰᠠᠷᠬᠠᠨ
авслах	ᠠᠪᠰᠠᠯᠠᠬᠤ
австраличууд	ᠠᠦᠰᠲ᠋ᠷᠠᠯᠢᠶᠠᠴᠤᠳ
австри	ᠠᠦ᠋ᠰᠲ᠋ᠷᠢ
авсчин	ᠠᠪᠰᠠᠴᠢᠨ
автагдах	ᠠᠪᠲᠠᠭᠳᠠᠬᠤ
автагдсан	ᠠᠪᠲᠠᠭᠳᠠᠭᠰᠠᠨ
автамхай	ᠠᠪᠲᠠᠮᠠᠬᠠᠢ
автах	ᠠᠪᠲᠠᠬᠤ
авто	ᠠᠦᠢᠲ᠋ᠣ᠋
автобиограф	ᠠᠦᠲ᠋ᠤᠪᠢᠤᠭᠷᠠᠹᠢ
автобус	ᠠᠦ᠋ᠲ᠋ᠣᠪᠦ᠋ᠰ
автоклав	ᠠᠦᠲ᠋ᠤᠻᠯᠠᠸᠢ
автомат	ᠠᠦ᠋ᠲ᠋ᠣᠮᠠᠲ
автоматжуулагдсан	ᠠᠦᠲ᠋ᠤᠮᠠᠲ᠋ᠵᠢᠭᠤᠯᠤᠭᠳᠠᠭᠰᠠᠨ
автоматжуулалт	ᠠᠦᠲ᠋ᠤᠮᠠᠲ᠋ᠵᠢᠭᠤᠯᠤᠯᠲᠠ
автоматжуулах	ᠠᠦ᠋ᠲ᠋ᠣᠮᠠᠲ᠋ᠵᠢᠭᠤᠯᠬᠤ
автоматчилах	ᠠᠦᠲ᠋ᠤᠮᠠᠲ᠋ᠴᠢᠯᠠᠬᠤ
автомашин	ᠠᠦ᠋ᠲ᠋ᠣᠮᠠᠱᠢᠨ᠋
автомеханик	ᠠᠦᠲ᠋ᠤᠮᠧᠬᠠᠨᠢᠭ
автомобиль	ᠠᠦᠲ᠋ᠤᠮᠤᠪᠢᠯᠢ
автономи	ᠠᠦ᠋ᠲ᠋ᠣᠨᠣᠮᠢ
автономит	ᠠᠦ᠋ᠲ᠋ᠣᠨᠣᠮᠢᠲᠤ
авхаалж	ᠠᠪᠬᠠᠯᠵᠢ
авхаалжтай	ᠠᠪᠬᠠᠯᠵᠢᠲᠠᠢ
авхай	ᠠᠪᠠᠬᠠᠢ
авхуулах	ᠠᠪᠬᠤᠯᠠᠬᠤ
авцал	ᠠᠪᠴᠠᠯ
авцалдаа	ᠠᠪᠴᠠᠯᠳᠤᠭ᠎ᠠ
авцалдаатай	ᠠᠪᠤᠯᠴᠠᠭᠠᠲᠠᠢ
авцалдах	ᠠᠪᠴᠠᠯᠳᠤᠬᠤ
авцалдуулах	ᠠᠪᠴᠠᠯᠳᠤᠭᠤᠯᠬᠤ
авч	ᠠᠪᠴᠤ
авчирсан	ᠠᠪᠴᠢᠷᠠᠭᠰᠠᠨ
авчих	ᠠᠪᠴᠢᠬ᠎ᠠ
авчрагч	ᠠᠪᠴᠢᠷᠠᠭᠴᠢ
авчрах	ᠠᠪᠴᠢᠷᠠᠬᠤ
авчруулах	ᠠᠪᠴᠢᠷᠠᠭᠤᠯᠬᠤ
авьяас	ᠠᠪᠢᠶᠠᠰ
авьяаслаг	ᠠᠪᠢᠶᠠᠰᠯᠢᠭ
авьяастай	ᠠᠪᠢᠶᠠᠰᠲᠠᠢ
агаар	ᠠᠭᠠᠷ
агааржилт	ᠠᠭᠠᠷᠵᠢᠯᠲᠠ
агааржсан	ᠠᠭᠠᠷᠵᠢᠬᠤ
агааржуулагч	ᠠᠭᠠᠷᠵᠢᠭᠤᠯᠤᠭᠴᠢ
агааржуулалт	ᠠᠭᠠᠷᠵᠢᠭᠤᠯᠤᠯᠲᠠ
агааржуулах	ᠠᠭᠠᠷᠵᠢᠭᠤᠯᠬᠤ
агаарт	ᠠᠭᠠᠷ
агаартай	ᠠᠭᠠᠷᠲᠠᠢ
агар	ᠠᠭᠠᠷᠤ
агдайх	ᠠᠭᠳᠤᠶᠢᠬᠤ
агдалзах	ᠠᠭᠳᠤᠯᠵᠠᠬᠤ
агдгар	ᠠᠭᠳᠤᠭᠠᠷ
агент	ᠠᢉᠧᠨ᠋ᠲ
агентлаг	ᠠᢉᠧᠨ᠋ᠲ᠋ᠯᠢᠭ
агзайх	ᠠᠭᠵᠠᠶᠢᠬᠤ
агзасхийх	ᠠᠭᠵᠠᠰᠬᠢᠬᠦ
аглаг	ᠠᠭᠯᠠᠭ
аглагч	ᠠᠭᠯᠠᠭᠴᠢ
агналт	ᠠᠩᠨᠠᠯᠲᠠ
агнах	ᠠᠩᠨᠠᠬᠤ
агнуур	ᠠᠩᠨᠠᠭᠤᠷ
агнуурчин	ᠠᠩᠨᠠᠭᠤᠷᠴᠢᠨ
агрегат	ᠠᢉᠷᠧᠭᠠᠲ
агрономи	ᠠᠭᠷᠤᠨᠤᠮᠢ
агрономич	ᠠᠭᠷᠤᠨᠤᠮᠢᠴᠢ
агсагнагч	ᠠᠭᠰᠤᠩᠨᠠᠭᠴᠢ
агсам	ᠠᠭᠰᠤᠮ
агсамналт	ᠠᠭᠰᠠᠮᠨᠠᠯᠲᠠ
